city,age,gender
s.a.s. nagar,65,F
s.a.s. nagar,71,M
s.a.s. nagar,78,M
s.a.s. nagar,85,M
s.a.s. nagar,87,F
malerkotla,1,M
malerkotla,5,F
malerkotla,12,M
malerkotla,18,M
malerkotla,15,M
malerkotla,20,M
malerkotla,20,M
malerkotla,25,M
malerkotla,31,F
malerkotla,36,F
malerkotla,41,M
malerkotla,48,F
malerkotla,47,F
malerkotla,53,M
malerkotla,58,F
malerkotla,61,F
malerkotla,62,F
malerkotla,66,M
malerkotla,65,M
malerkotla,72,F
malerkotla,76,F
malerkotla,84,F
malerkotla,84,F
barnala,2,M
barnala,1,M
barnala,5,F
barnala,13,F
barnala,13,M
barnala,16,F
barnala,17,M
barnala,23,M
barnala,21,M
barnala,26,F
barnala,30,M
barnala,33,M
barnala,38,M
barnala,36,F
barnala,42,F
barnala,41,M
barnala,46,M
barnala,53,M
barnala,50,F
barnala,56,M
barnala,56,M
barnala,61,M
barnala,62,M
barnala,67,F
barnala,71,F
barnala,78,F
barnala,76,F
barnala,83,F
barnala,88,F
chandigarh,0,M
chandigarh,1,F
chandigarh,6,F
chandigarh,5,F
chandigarh,10,F
chandigarh,13,M
chandigarh,18,F
chandigarh,15,M
chandigarh,20,F
chandigarh,26,M
chandigarh,26,M
chandigarh,32,F
chandigarh,36,F
chandigarh,41,F
chandigarh,46,M
chandigarh,53,F
chandigarh,52,F
chandigarh,57,M
chandigarh,57,F
chandigarh,60,M
chandigarh,68,M
chandigarh,71,F
chandigarh,77,M
chandigarh,77,M
chandigarh,82,F
chandigarh,85,F
dehradun,0,M
dehradun,6,F
dehradun,11,M
dehradun,15,F
dehradun,15,F
dehradun,20,M
dehradun,21,F
dehradun,25,F
dehradun,33,F
dehradun,30,F
dehradun,35,M
dehradun,41,M
dehradun,41,M
dehradun,46,M
dehradun,45,M
dehradun,50,F
dehradun,55,M
dehradun,63,F
dehradun,67,M
dehradun,68,M
dehradun,73,M
dehradun,78,M
dehradun,80,F
dehradun,85,F
haldwani-cum-kathgodam,3,F
haldwani-cum-kathgodam,0,F
haldwani-cum-kathgodam,5,M
haldwani-cum-kathgodam,11,M
haldwani-cum-kathgodam,12,F
haldwani-cum-kathgodam,16,M
haldwani-cum-kathgodam,17,F
haldwani-cum-kathgodam,23,M
haldwani-cum-kathgodam,26,M
haldwani-cum-kathgodam,30,M
haldwani-cum-kathgodam,37,F
haldwani-cum-kathgodam,37,F
haldwani-cum-kathgodam,42,F
haldwani-cum-kathgodam,42,F
haldwani-cum-kathgodam,46,M
haldwani-cum-kathgodam,47,F
haldwani-cum-kathgodam,51,F
haldwani-cum-kathgodam,53,M
haldwani-cum-kathgodam,57,F
haldwani-cum-kathgodam,56,F
haldwani-cum-kathgodam,63,M
haldwani-cum-kathgodam,68,F
haldwani-cum-kathgodam,73,F
haldwani-cum-kathgodam,71,M
haldwani-cum-kathgodam,77,F
haldwani-cum-kathgodam,78,F
haldwani-cum-kathgodam,80,F
haldwani-cum-kathgodam,84,F
kashipur,3,F
kashipur,6,M
kashipur,6,M
kashipur,13,M
kashipur,13,M
kashipur,17,M
kashipur,23,F
kashipur,21,F
kashipur,27,M
kashipur,33,M
kashipur,31,F
kashipur,38,M
kashipur,43,M
kashipur,41,M
kashipur,45,M
kashipur,52,F
kashipur,55,M
kashipur,63,M
kashipur,67,M
kashipur,70,M
kashipur,73,F
kashipur,77,M
kashipur,88,F
kashipur,88,F
rudrapur,1,M
rudrapur,7,M
rudrapur,12,F
rudrapur,12,M
rudrapur,15,M
rudrapur,16,F
rudrapur,23,F
rudrapur,25,M
rudrapur,33,M
rudrapur,36,M
rudrapur,40,F
rudrapur,46,M
rudrapur,45,F
rudrapur,51,M
rudrapur,50,F
rudrapur,58,M
rudrapur,62,M
rudrapur,61,F
rudrapur,68,M
rudrapur,73,F
rudrapur,76,F
rudrapur,75,F
rudrapur,80,F
roorkee,1,M
roorkee,1,M
roorkee,8,M
roorkee,7,F
roorkee,12,F
roorkee,16,M
roorkee,16,F
roorkee,22,F
roorkee,23,M
roorkee,27,F
roorkee,28,F
roorkee,31,M
roorkee,31,F
roorkee,37,F
roorkee,36,F
roorkee,42,F
roorkee,40,F
roorkee,46,M
roorkee,53,M
roorkee,52,M
roorkee,56,M
roorkee,63,M
roorkee,62,M
roorkee,67,M
roorkee,72,M
roorkee,76,F
roorkee,86,F
hardwar,1,M
hardwar,5,F
hardwar,8,M
hardwar,10,F
hardwar,13,M
hardwar,16,M
hardwar,17,M
hardwar,22,M
hardwar,26,F
hardwar,28,M
hardwar,31,M
hardwar,32,M
hardwar,36,M
hardwar,43,F
hardwar,46,M
hardwar,53,F
hardwar,55,M
hardwar,58,F
hardwar,62,F
hardwar,61,M
hardwar,67,M
hardwar,72,F
hardwar,71,M
hardwar,78,F
hardwar,84,F
hardwar,88,M
panchkula,2,F
panchkula,8,M
panchkula,11,M
panchkula,17,M
panchkula,17,M
panchkula,20,F
panchkula,23,F
panchkula,25,M
panchkula,30,F
panchkula,36,M
panchkula,42,F
panchkula,41,M
panchkula,45,M
panchkula,46,M
panchkula,50,M
panchkula,50,F
panchkula,55,M
panchkula,60,F
panchkula,67,F
panchkula,71,M
panchkula,70,F
panchkula,78,M
panchkula,78,F
panchkula,84,F
panchkula,87,F
ambala,2,F
ambala,5,M
ambala,12,M
ambala,11,F
ambala,15,F
ambala,15,M
ambala,23,F
ambala,25,F
ambala,26,F
ambala,31,F
ambala,36,M
ambala,35,M
ambala,42,F
ambala,43,M
ambala,47,M
ambala,45,F
ambala,53,F
ambala,53,M
ambala,56,F
ambala,62,M
ambala,62,M
ambala,67,F
ambala,67,M
ambala,73,F
ambala,77,M
ambala,86,F
ambala sadar,2,M
ambala sadar,0,M
ambala sadar,7,M
ambala sadar,7,M
ambala sadar,13,F
ambala sadar,17,M
ambala sadar,22,F
ambala sadar,26,F
ambala sadar,30,M
ambala sadar,33,M
ambala sadar,37,F
ambala sadar,35,M
ambala sadar,42,F
ambala sadar,41,M
ambala sadar,45,M
ambala sadar,48,F
ambala sadar,50,F
ambala sadar,55,F
ambala sadar,63,F
ambala sadar,60,F
ambala sadar,66,F
ambala sadar,68,M
ambala sadar,71,F
ambala sadar,70,F
ambala sadar,75,F
ambala sadar,88,F
jagadhri,0,M
jagadhri,2,M
jagadhri,8,M
jagadhri,10,F
jagadhri,18,F
jagadhri,15,M
jagadhri,22,M
jagadhri,25,M
jagadhri,31,M
jagadhri,32,F
jagadhri,38,M
jagadhri,36,F
jagadhri,42,M
jagadhri,41,M
jagadhri,48,M
jagadhri,48,F
jagadhri,53,F
jagadhri,58,F
jagadhri,58,M
jagadhri,61,M
jagadhri,66,M
jagadhri,65,F
jagadhri,71,M
jagadhri,78,F
jagadhri,75,F
jagadhri,81,F
jagadhri,86,F
yamunanagar,0,M
yamunanagar,1,M
yamunanagar,8,F
yamunanagar,6,M
yamunanagar,12,M
yamunanagar,17,F
yamunanagar,17,M
yamunanagar,22,M
yamunanagar,23,F
yamunanagar,28,F
yamunanagar,26,F
yamunanagar,30,M
yamunanagar,38,M
yamunanagar,40,M
yamunanagar,43,M
yamunanagar,46,F
yamunanagar,45,M
yamunanagar,51,M
yamunanagar,55,M
yamunanagar,61,F
yamunanagar,62,M
yamunanagar,65,F
yamunanagar,71,F
yamunanagar,73,M
yamunanagar,78,M
yamunanagar,80,F
yamunanagar,88,F
thanesar,0,M
thanesar,1,F
thanesar,6,F
thanesar,11,F
thanesar,13,M
thanesar,18,M
thanesar,18,M
thanesar,23,F
thanesar,28,F
thanesar,26,M
thanesar,30,M
thanesar,30,M
thanesar,36,M
thanesar,38,M
thanesar,43,M
thanesar,45,F
thanesar,46,M
thanesar,52,M
thanesar,57,F
thanesar,62,M
thanesar,65,M
thanesar,73,F
thanesar,75,M
thanesar,83,F
thanesar,84,F
kaithal,0,F
kaithal,8,M
kaithal,13,M
kaithal,12,F
kaithal,17,M
kaithal,18,M
kaithal,21,F
kaithal,23,F
kaithal,26,F
kaithal,28,M
kaithal,31,M
kaithal,32,F
kaithal,37,F
kaithal,37,F
kaithal,43,M
kaithal,43,M
kaithal,47,F
kaithal,52,F
kaithal,57,F
kaithal,60,F
kaithal,65,F
kaithal,66,M
kaithal,72,F
kaithal,76,F
kaithal,80,F
karnal,0,M
karnal,6,M
karnal,6,M
karnal,13,F
karnal,18,F
karnal,18,M
karnal,23,M
karnal,27,M
karnal,28,M
karnal,33,F
karnal,38,M
karnal,41,F
karnal,48,F
karnal,52,M
karnal,56,F
karnal,57,M
karnal,62,F
karnal,60,F
karnal,66,M
karnal,70,F
karnal,77,F
karnal,76,F
karnal,80,F
panipat,0,F
panipat,1,F
panipat,8,F
panipat,5,F
panipat,11,M
panipat,18,F
panipat,22,F
panipat,28,M
panipat,27,M
panipat,30,M
panipat,32,M
panipat,37,M
panipat,47,M
panipat,48,F
panipat,50,F
panipat,52,M
panipat,58,F
panipat,63,F
panipat,67,M
panipat,72,M
panipat,72,M
panipat,77,F
panipat,81,F
sonipat,1,M
sonipat,6,M
sonipat,8,M
sonipat,10,M
sonipat,12,M
sonipat,16,M
sonipat,22,M
sonipat,28,F
sonipat,33,M
sonipat,31,M
sonipat,37,M
sonipat,35,M
sonipat,42,F
sonipat,45,F
sonipat,47,F
sonipat,51,M
sonipat,55,F
sonipat,63,M
sonipat,61,F
sonipat,68,M
sonipat,66,M
sonipat,71,M
sonipat,72,M
sonipat,78,M
sonipat,84,F
jind,0,F
jind,3,M
jind,5,M
jind,5,M
jind,13,M
jind,13,F
jind,18,M
jind,21,F
jind,22,M
jind,25,M
jind,33,M
jind,33,F
jind,36,F
jind,41,F
jind,46,F
jind,51,M
jind,55,M
jind,58,M
jind,62,M
jind,60,M
jind,66,M
jind,70,M
jind,75,M
jind,78,F
jind,86,F
sirsa,0,M
sirsa,3,F
sirsa,6,M
sirsa,6,F
sirsa,10,M
sirsa,10,M
sirsa,15,M
sirsa,22,F
sirsa,25,M
sirsa,28,F
sirsa,31,F
sirsa,32,F
sirsa,38,F
sirsa,35,M
sirsa,41,M
sirsa,41,M
sirsa,47,M
sirsa,50,M
sirsa,58,M
sirsa,63,M
sirsa,67,M
sirsa,73,F
sirsa,78,F
sirsa,88,F
hisar,2,M
hisar,0,M
hisar,8,F
hisar,13,F
hisar,13,F
hisar,16,F
hisar,22,F
hisar,23,M
hisar,27,M
hisar,27,M
hisar,31,M
hisar,36,F
hisar,40,M
hisar,48,M
hisar,52,M
hisar,50,F
hisar,55,M
hisar,62,F
hisar,66,F
hisar,65,M
hisar,72,F
hisar,71,F
hisar,75,F
hisar,86,F
hisar,81,F
bhiwani,3,F
bhiwani,5,M
bhiwani,7,M
bhiwani,13,M
bhiwani,15,M
bhiwani,17,F
bhiwani,20,M
bhiwani,20,F
bhiwani,25,F
bhiwani,33,M
bhiwani,30,F
bhiwani,37,M
bhiwani,36,F
bhiwani,41,M
bhiwani,41,M
bhiwani,48,F
bhiwani,50,F
bhiwani,51,F
bhiwani,55,F
bhiwani,62,F
bhiwani,61,F
bhiwani,68,M
bhiwani,70,F
bhiwani,72,F
bhiwani,75,F
bhiwani,80,F
bhiwani,86,F
rohtak,1,F
rohtak,0,F
rohtak,5,M
rohtak,8,F
rohtak,13,M
rohtak,16,F
rohtak,23,F
rohtak,23,F
rohtak,25,M
rohtak,26,M
rohtak,30,F
rohtak,31,F
rohtak,35,M
rohtak,35,F
rohtak,40,M
rohtak,47,M
rohtak,50,M
rohtak,58,F
rohtak,57,M
rohtak,61,M
rohtak,68,F
rohtak,66,M
rohtak,71,F
rohtak,70,F
rohtak,75,F
rohtak,84,F
bahadurgarh,2,F
bahadurgarh,1,M
bahadurgarh,8,F
bahadurgarh,10,M
bahadurgarh,18,F
bahadurgarh,15,M
bahadurgarh,22,M
bahadurgarh,20,M
bahadurgarh,27,F
bahadurgarh,31,F
bahadurgarh,30,M
bahadurgarh,36,F
bahadurgarh,36,M
bahadurgarh,42,M
bahadurgarh,43,M
bahadurgarh,48,F
bahadurgarh,50,M
bahadurgarh,55,F
bahadurgarh,62,M
bahadurgarh,66,F
bahadurgarh,68,F
bahadurgarh,71,F
bahadurgarh,77,F
bahadurgarh,77,F
bahadurgarh,85,F
rewari,0,M
rewari,6,F
rewari,13,F
rewari,10,F
rewari,16,F
rewari,20,F
rewari,28,M
rewari,27,F
rewari,32,M
rewari,38,M
rewari,37,M
rewari,43,M
rewari,42,M
rewari,45,M
rewari,52,F
rewari,58,F
rewari,61,M
rewari,61,M
rewari,67,M
rewari,72,F
rewari,72,F
rewari,75,F
rewari,75,F
rewari,89,F
gurgaon,0,M
gurgaon,6,M
gurgaon,7,F
gurgaon,10,M
gurgaon,18,M
gurgaon,21,M
gurgaon,22,F
gurgaon,28,M
gurgaon,30,M
gurgaon,38,F
gurgaon,41,M
gurgaon,40,F
gurgaon,45,M
gurgaon,45,M
gurgaon,52,F
gurgaon,51,F
gurgaon,56,F
gurgaon,56,F
gurgaon,63,F
gurgaon,61,F
gurgaon,67,F
gurgaon,71,F
gurgaon,72,F
gurgaon,78,M
gurgaon,75,F
gurgaon,85,F
faridabad,1,M
faridabad,7,F
faridabad,6,M
faridabad,11,F
faridabad,11,F
faridabad,17,F
faridabad,23,F
faridabad,27,F
faridabad,27,M
faridabad,31,F
faridabad,30,F
faridabad,37,F
faridabad,37,M
faridabad,40,M
faridabad,48,M
faridabad,48,F
faridabad,50,M
faridabad,58,M
faridabad,58,F
faridabad,61,M
faridabad,67,F
faridabad,66,M
faridabad,72,M
faridabad,77,M
faridabad,76,F
faridabad,85,F
palwal,0,F
palwal,1,F
palwal,6,M
palwal,13,M
palwal,18,M
palwal,22,M
palwal,21,M
palwal,27,M
palwal,25,F
palwal,32,M
palwal,37,F
palwal,35,M
palwal,41,F
palwal,42,M
palwal,46,M
palwal,51,M
palwal,56,M
palwal,58,M
palwal,61,F
palwal,63,F
palwal,66,M
palwal,66,M
palwal,70,F
palwal,75,F
palwal,87,F
kirari suleman nagar,3,F
kirari suleman nagar,2,F
kirari suleman nagar,5,F
kirari suleman nagar,10,M
kirari suleman nagar,18,M
kirari suleman nagar,16,M
kirari suleman nagar,22,M
kirari suleman nagar,25,M
kirari suleman nagar,28,M
kirari suleman nagar,33,F
kirari suleman nagar,32,M
kirari suleman nagar,35,M
kirari suleman nagar,38,M
kirari suleman nagar,40,F
kirari suleman nagar,40,F
kirari suleman nagar,48,F
kirari suleman nagar,53,F
kirari suleman nagar,52,M
kirari suleman nagar,57,F
kirari suleman nagar,55,M
kirari suleman nagar,62,M
kirari suleman nagar,63,M
kirari suleman nagar,68,F
kirari suleman nagar,70,F
kirari suleman nagar,75,F
kirari suleman nagar,77,F
kirari suleman nagar,85,F
sultan pur majra,0,M
sultan pur majra,7,M
sultan pur majra,11,F
sultan pur majra,11,M
sultan pur majra,18,M
sultan pur majra,17,M
sultan pur majra,23,M
sultan pur majra,21,F
sultan pur majra,26,F
sultan pur majra,28,F
sultan pur majra,33,F
sultan pur majra,35,F
sultan pur majra,35,F
sultan pur majra,42,M
sultan pur majra,40,M
sultan pur majra,48,F
sultan pur majra,52,F
sultan pur majra,58,M
sultan pur majra,62,F
sultan pur majra,66,M
sultan pur majra,73,F
sultan pur majra,72,M
sultan pur majra,78,F
sultan pur majra,76,F
sultan pur majra,80,F
sultan pur majra,86,F
bhalswa jahangir pur,2,M
bhalswa jahangir pur,1,F
bhalswa jahangir pur,6,M
bhalswa jahangir pur,11,M
bhalswa jahangir pur,15,M
bhalswa jahangir pur,22,M
bhalswa jahangir pur,27,M
bhalswa jahangir pur,25,F
bhalswa jahangir pur,33,M
bhalswa jahangir pur,33,M
bhalswa jahangir pur,38,M
bhalswa jahangir pur,43,M
bhalswa jahangir pur,40,M
bhalswa jahangir pur,48,F
bhalswa jahangir pur,45,M
bhalswa jahangir pur,51,M
bhalswa jahangir pur,58,F
bhalswa jahangir pur,56,M
bhalswa jahangir pur,60,M
bhalswa jahangir pur,61,F
bhalswa jahangir pur,67,F
bhalswa jahangir pur,65,M
bhalswa jahangir pur,73,F
bhalswa jahangir pur,77,F
bhalswa jahangir pur,87,F
burari,2,F
burari,7,F
burari,10,F
burari,15,M
burari,22,F
burari,23,M
burari,25,M
burari,27,M
burari,30,F
burari,36,M
burari,36,M
burari,40,M
burari,41,M
burari,47,F
burari,51,M
burari,51,F
burari,55,M
burari,61,F
burari,67,M
burari,73,F
burari,77,F
burari,77,M
burari,86,F
burari,81,F
karawal nagar,1,M
karawal nagar,0,F
karawal nagar,7,M
karawal nagar,7,F
karawal nagar,13,M
karawal nagar,16,M
karawal nagar,16,F
karawal nagar,23,M
karawal nagar,27,M
karawal nagar,26,M
karawal nagar,32,F
karawal nagar,37,F
karawal nagar,35,M
karawal nagar,42,M
karawal nagar,43,M
karawal nagar,45,M
karawal nagar,45,M
karawal nagar,53,M
karawal nagar,51,F
karawal nagar,58,M
karawal nagar,58,M
karawal nagar,61,F
karawal nagar,66,F
karawal nagar,67,M
karawal nagar,70,F
karawal nagar,78,F
karawal nagar,77,F
karawal nagar,86,F
karawal nagar,82,F
mustafabad,1,F
mustafabad,0,M
mustafabad,6,M
mustafabad,8,M
mustafabad,13,M
mustafabad,15,M
mustafabad,16,F
mustafabad,20,M
mustafabad,25,M
mustafabad,32,M
mustafabad,30,F
mustafabad,38,F
mustafabad,43,M
mustafabad,41,F
mustafabad,46,M
mustafabad,47,M
mustafabad,53,M
mustafabad,51,F
mustafabad,56,F
mustafabad,57,F
mustafabad,62,F
mustafabad,68,F
mustafabad,65,M
mustafabad,72,M
mustafabad,70,F
mustafabad,77,F
mustafabad,85,F
gokal pur,1,M
gokal pur,8,M
gokal pur,11,M
gokal pur,18,M
gokal pur,22,F
gokal pur,22,M
gokal pur,28,M
gokal pur,33,F
gokal pur,32,F
gokal pur,38,M
gokal pur,43,M
gokal pur,41,F
gokal pur,46,F
gokal pur,45,M
gokal pur,53,M
gokal pur,50,F
gokal pur,58,M
gokal pur,58,F
gokal pur,61,F
gokal pur,62,M
gokal pur,68,F
gokal pur,73,M
gokal pur,76,F
gokal pur,82,F
gokal pur,87,F
mandoli,2,F
mandoli,6,M
mandoli,11,M
mandoli,16,M
mandoli,16,F
mandoli,23,M
mandoli,25,M
mandoli,28,M
mandoli,31,F
mandoli,35,F
mandoli,38,F
mandoli,41,M
mandoli,42,M
mandoli,47,M
mandoli,48,M
mandoli,50,M
mandoli,55,F
mandoli,58,F
mandoli,61,F
mandoli,60,F
mandoli,67,F
mandoli,68,M
mandoli,73,M
mandoli,76,F
mandoli,83,F
dallo pura,0,M
dallo pura,5,M
dallo pura,11,F
dallo pura,10,F
dallo pura,17,M
dallo pura,17,M
dallo pura,21,M
dallo pura,22,M
dallo pura,28,M
dallo pura,25,F
dallo pura,33,F
dallo pura,30,M
dallo pura,36,M
dallo pura,37,M
dallo pura,43,F
dallo pura,47,M
dallo pura,50,F
dallo pura,51,M
dallo pura,55,F
dallo pura,55,F
dallo pura,63,F
dallo pura,65,M
dallo pura,66,M
dallo pura,70,M
dallo pura,77,F
dallo pura,82,F
hastsal,1,M
hastsal,1,F
hastsal,5,F
hastsal,13,F
hastsal,13,F
hastsal,18,M
hastsal,17,M
hastsal,22,M
hastsal,26,F
hastsal,32,M
hastsal,32,F
hastsal,38,F
hastsal,38,M
hastsal,40,F
hastsal,48,F
hastsal,51,F
hastsal,53,M
hastsal,56,M
hastsal,58,F
hastsal,63,F
hastsal,65,M
hastsal,70,M
hastsal,70,F
hastsal,76,F
hastsal,77,F
hastsal,86,F
hastsal,83,F
nangloi jat,3,F
nangloi jat,0,M
nangloi jat,5,F
nangloi jat,13,F
